id	project	intent	commits	summary
win-external-rust-crates-libfuzzer-sys	external/rust/crates/libfuzzer-sys	packaging-noise	1	4414ea1 [A13] Removing .github workflows
win-external-rust-crates-libloading	external/rust/crates/libloading	packaging-noise	1	719d407 [A13] Removing .github workflows
win-external-rust-crates-log	external/rust/crates/log	packaging-noise	1	b117aaf [A13] Removing .github workflows
win-external-rust-crates-memoffset	external/rust/crates/memoffset	packaging-noise	1	8756d5f [A13] Removing .github workflows
win-external-rust-crates-minimal-lexical	external/rust/crates/minimal-lexical	packaging-noise	1	8092595 [A13] Removing .github workflows
win-external-rust-crates-num_cpus	external/rust/crates/num_cpus	packaging-noise	1	7a12ffd [A13] Removing .github workflows
win-external-rust-crates-once_cell	external/rust/crates/once_cell	packaging-noise	1	1291ef7 [A13] Removing .github workflows
win-external-rust-crates-plotters	external/rust/crates/plotters	packaging-noise	1	718ce25 [A13] Removing .github workflows
win-external-rust-crates-proc-macro2	external/rust/crates/proc-macro2	packaging-noise	1	fb1051d [A13] Removing .github workflows
win-external-rust-crates-quickcheck	external/rust/crates/quickcheck	packaging-noise	1	b4aa192 [A13] Removing .github workflows
win-external-rust-crates-regex-automata	external/rust/crates/regex-automata	packaging-noise	1	8c7026e [A13] Removing .github workflows
win-external-rust-crates-remain	external/rust/crates/remain	packaging-noise	1	2019f98 [A13] Removing .github workflows
win-external-rust-crates-ryu	external/rust/crates/ryu	packaging-noise	1	5331ed0 [A13] Removing .github workflows
win-external-rust-crates-smallvec	external/rust/crates/smallvec	packaging-noise	1	5310f1f [A13] Removing .github workflows
win-external-rust-crates-spin	external/rust/crates/spin	packaging-noise	1	e94682b [A13] Removing .github workflows
win-external-rust-crates-thiserror	external/rust/crates/thiserror	packaging-noise	1	0438101 [A13] Removing .github workflows
win-external-rust-crates-tinyvec	external/rust/crates/tinyvec	packaging-noise	1	32cc553 [A13] Removing .github workflows
win-external-rust-crates-vsock	external/rust/crates/vsock	packaging-noise	1	c64334b [A13] Removing .github workflows
win-external-rust-crates-walkdir	external/rust/crates/walkdir	packaging-noise	1	3a2cd93 [A13] Removing .github workflows
win-external-rust-crates-weak-table	external/rust/crates/weak-table	packaging-noise	1	b7213fe [A13] Removing .github workflows
win-external-rust-crates-which	external/rust/crates/which	packaging-noise	1	900c7ea [A13] Removing .github workflows
win-external-selinux	external/selinux	selinux-temp	2	d13ccd05 [A13] Removing .github workflows
d42add96 [A13] Disabling selinux
win-external-swiftshader	external/swiftshader	packaging-noise	4	347d4ce1e [A13] deinit third_party/llvm-project
9545e8ab1 Using LFS to track big objects
9c8b7237d Remove some large files
04c4656a7 Sync to aosp-android-13.0.0_r49
win-external-toybox	external/toybox	packaging-noise	1	8c26f58a [A13] Removing .github workflows
win-external-turbine	external/turbine	packaging-noise	1	0669cd1 [A13] Removing .github workflows
win-external-volley	external/volley	packaging-noise	1	88c9f1f [A13] Removing .github workflows
